PainelistaID;Cidade;Estado;Sexo;Nascimento;PesquisaID;Data;CodCliente;Nome;CodJob;CodQuestao;DescQuestaoPOR;Resposta;DescOpcaoPOR
047F1313-AD73-46C6-9332-9D8FC1586408;Maringá;PR;F;12/1973;D8811E98-FE36-4575-99E5-68BE7D31F6FB;14/07/2022 12:04;24587205.0;F60KRQX;3794;57791;Classe Social;3;B2 (29 - 37)
047F1313-AD73-46C6-9332-9D8FC1586408;Maringá;PR;F;12/1973;D8811E98-FE36-4575-99E5-68BE7D31F6FB;14/07/2022 12:04;24587205.0;F60KRQX;3794;57792;E em qual dessas faixas se encaixa a sua renda familiar mensal, incluindo o ganho de todas as pessoas que moram em sua residência, além de outros rendimentos como aluguel, entre outros? Você diria que é .....;10;R$ 15.000 a 20.000
047F1313-AD73-46C6-9332-9D8FC1586408;Maringá;PR;F;12/1973;31821770-8E76-434D-BB14-10A6CA8B7667;14/07/2022 12:11;21626308.0;98DZK9M;4037;122498;Você tem PIX? ;1;Sim 
047F1313-AD73-46C6-9332-9D8FC1586408;Maringá;PR;F;12/1973;31821770-8E76-434D-BB14-10A6CA8B7667;14/07/2022 12:11;21626308.0;98DZK9M;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5;
327102E0-8D3E-44B9-8F47-0533C0296188;Belo Horizonte;MG;F;09/1981;D8811E98-FE36-4575-99E5-68BE7D31F6FB;15/12/2021 16:48;22149762.0;F60KRQX;3794;57625;Qual seu estado civil? ;1;Solteira (o)
327102E0-8D3E-44B9-8F47-0533C0296188;Belo Horizonte;MG;F;09/1981;D8811E98-FE36-4575-99E5-68BE7D31F6FB;15/12/2021 16:48;22149762.0;F60KRQX;3794;57627;Você tem filhos?;1;Sim
327102E0-8D3E-44B9-8F47-0533C0296188;Belo Horizonte;MG;F;09/1981;D8811E98-FE36-4575-99E5-68BE7D31F6FB;15/12/2021 16:48;22149762.0;F60KRQX;3794;57724;Você tem alguma atividade remunerada, mensal?;8;Autônomo/ Free-lancer
327102E0-8D3E-44B9-8F47-0533C0296188;Belo Horizonte;MG;F;09/1981;D8811E98-FE36-4575-99E5-68BE7D31F6FB;15/12/2021 16:48;22149762.0;F60KRQX;3794;57727;Em qual dessas faixas se encaixa a sua renda pessoal mensal? Você diria que é .....;4;R$ 2.000 a 2.999
327102E0-8D3E-44B9-8F47-0533C0296188;Belo Horizonte;MG;F;09/1981;D8811E98-FE36-4575-99E5-68BE7D31F6FB;15/12/2021 16:48;22149762.0;F60KRQX;3794;57791;Classe Social;4;C1 (23 - 28)
327102E0-8D3E-44B9-8F47-0533C0296188;Belo Horizonte;MG;F;09/1981;D8811E98-FE36-4575-99E5-68BE7D31F6FB;15/12/2021 16:48;22149762.0;F60KRQX;3794;57792;E em qual dessas faixas se encaixa a sua renda familiar mensal, incluindo o ganho de todas as pessoas que moram em sua residência, além de outros rendimentos como aluguel, entre outros? Você diria que é .....;4;R$ 2.000 a 2.999
327102E0-8D3E-44B9-8F47-0533C0296188;Belo Horizonte;MG;F;09/1981;31821770-8E76-434D-BB14-10A6CA8B7667;15/12/2021 16:45;19398222.0;98DZK9M;4037;122498;Você tem PIX? ;1;Sim 
327102E0-8D3E-44B9-8F47-0533C0296188;Belo Horizonte;MG;F;09/1981;31821770-8E76-434D-BB14-10A6CA8B7667;15/12/2021 16:45;19398222.0;98DZK9M;4037;122499;Para quais finalidades você usa o PIX? ;1|2;
E6295681-02C6-493C-93D8-BB1B8D355B9C;Piedade;SP;M;11/1986;D8811E98-FE36-4575-99E5-68BE7D31F6FB;27/02/2022 06:49;23416990.0;F60KRQX;3794;57625;Qual seu estado civil? ;2;Casada (o) / Morando Junto
E6295681-02C6-493C-93D8-BB1B8D355B9C;Piedade;SP;M;11/1986;D8811E98-FE36-4575-99E5-68BE7D31F6FB;27/02/2022 06:49;23416990.0;F60KRQX;3794;57627;Você tem filhos?;1;Sim
E6295681-02C6-493C-93D8-BB1B8D355B9C;Piedade;SP;M;11/1986;D8811E98-FE36-4575-99E5-68BE7D31F6FB;27/02/2022 06:49;23416990.0;F60KRQX;3794;57724;Você tem alguma atividade remunerada, mensal?;8;Autônomo/ Free-lancer
E6295681-02C6-493C-93D8-BB1B8D355B9C;Piedade;SP;M;11/1986;D8811E98-FE36-4575-99E5-68BE7D31F6FB;27/02/2022 06:49;23416990.0;F60KRQX;3794;57727;Em qual dessas faixas se encaixa a sua renda pessoal mensal? Você diria que é .....;3;R$ 1.101 a 1.999
E6295681-02C6-493C-93D8-BB1B8D355B9C;Piedade;SP;M;11/1986;D8811E98-FE36-4575-99E5-68BE7D31F6FB;27/02/2022 06:49;23416990.0;F60KRQX;3794;57791;Classe Social;4;C1 (23 - 28)
E6295681-02C6-493C-93D8-BB1B8D355B9C;Piedade;SP;M;11/1986;D8811E98-FE36-4575-99E5-68BE7D31F6FB;27/02/2022 06:49;23416990.0;F60KRQX;3794;57792;E em qual dessas faixas se encaixa a sua renda familiar mensal, incluindo o ganho de todas as pessoas que moram em sua residência, além de outros rendimentos como aluguel, entre outros? Você diria que é .....;4;R$ 2.000 a 2.999
E6295681-02C6-493C-93D8-BB1B8D355B9C;Piedade;SP;M;11/1986;31821770-8E76-434D-BB14-10A6CA8B7667;27/02/2022 06:48;20082186.0;98DZK9M;4037;122498;Você tem PIX? ;1;Sim 
E6295681-02C6-493C-93D8-BB1B8D355B9C;Piedade;SP;M;11/1986;31821770-8E76-434D-BB14-10A6CA8B7667;27/02/2022 06:48;20082186.0;98DZK9M;4037;122499;Para quais finalidades você usa o PIX? ;2;Pagar contas 
2CAB38AF-9E66-4DDD-88EB-5CDF24AF627E;Itambé;BA;M;08/2003;D8811E98-FE36-4575-99E5-68BE7D31F6FB;20/02/2022 13:20;23409511.0;F60KRQX;3794;57625;Qual seu estado civil? ;1;Solteira (o)
2CAB38AF-9E66-4DDD-88EB-5CDF24AF627E;Itambé;BA;M;08/2003;D8811E98-FE36-4575-99E5-68BE7D31F6FB;20/02/2022 13:20;23409511.0;F60KRQX;3794;57627;Você tem filhos?;2;Não
2CAB38AF-9E66-4DDD-88EB-5CDF24AF627E;Itambé;BA;M;08/2003;D8811E98-FE36-4575-99E5-68BE7D31F6FB;20/02/2022 13:20;23409511.0;F60KRQX;3794;57724;Você tem alguma atividade remunerada, mensal?;3;Estudante
2CAB38AF-9E66-4DDD-88EB-5CDF24AF627E;Itambé;BA;M;08/2003;D8811E98-FE36-4575-99E5-68BE7D31F6FB;20/02/2022 13:20;23409511.0;F60KRQX;3794;57791;Classe Social;5;C2 (17 - 22)
2CAB38AF-9E66-4DDD-88EB-5CDF24AF627E;Itambé;BA;M;08/2003;D8811E98-FE36-4575-99E5-68BE7D31F6FB;20/02/2022 13:20;23409511.0;F60KRQX;3794;57792;E em qual dessas faixas se encaixa a sua renda familiar mensal, incluindo o ganho de todas as pessoas que moram em sua residência, além de outros rendimentos como aluguel, entre outros? Você diria que é .....;1;Até 720,00
2CAB38AF-9E66-4DDD-88EB-5CDF24AF627E;Itambé;BA;M;08/2003;31821770-8E76-434D-BB14-10A6CA8B7667;20/02/2022 13:26;20001247.0;98DZK9M;4037;122498;Você tem PIX? ;1;Sim 
2CAB38AF-9E66-4DDD-88EB-5CDF24AF627E;Itambé;BA;M;08/2003;31821770-8E76-434D-BB14-10A6CA8B7667;20/02/2022 13:26;20001247.0;98DZK9M;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5;
1EF9181A-74FB-4B98-AB94-66D15485EDF6;Belém;PA;M;05/2002;D8811E98-FE36-4575-99E5-68BE7D31F6FB;04/04/2022 22:06;23828757.0;F60KRQX;3794;57625;Qual seu estado civil? ;1;Solteira (o)
1EF9181A-74FB-4B98-AB94-66D15485EDF6;Belém;PA;M;05/2002;D8811E98-FE36-4575-99E5-68BE7D31F6FB;04/04/2022 22:06;23828757.0;F60KRQX;3794;57627;Você tem filhos?;2;Não
1EF9181A-74FB-4B98-AB94-66D15485EDF6;Belém;PA;M;05/2002;D8811E98-FE36-4575-99E5-68BE7D31F6FB;04/04/2022 22:06;23828757.0;F60KRQX;3794;57724;Você tem alguma atividade remunerada, mensal?;3;Estudante
1EF9181A-74FB-4B98-AB94-66D15485EDF6;Belém;PA;M;05/2002;D8811E98-FE36-4575-99E5-68BE7D31F6FB;04/04/2022 22:06;23828757.0;F60KRQX;3794;57791;Classe Social;2;B1 (38 - 44)  
1EF9181A-74FB-4B98-AB94-66D15485EDF6;Belém;PA;M;05/2002;D8811E98-FE36-4575-99E5-68BE7D31F6FB;04/04/2022 22:06;23828757.0;F60KRQX;3794;57792;E em qual dessas faixas se encaixa a sua renda familiar mensal, incluindo o ganho de todas as pessoas que moram em sua residência, além de outros rendimentos como aluguel, entre outros? Você diria que é .....;6;R$ 4.000 a 4.999
63302E50-BB23-4A67-A299-E12ACAB5FF8D;Amparo;SP;F;04/2002;D8811E98-FE36-4575-99E5-68BE7D31F6FB;25/10/2021 22:12;20827195.0;F60KRQX;3794;57625;Qual seu estado civil? ;1;Solteira (o)
63302E50-BB23-4A67-A299-E12ACAB5FF8D;Amparo;SP;F;04/2002;D8811E98-FE36-4575-99E5-68BE7D31F6FB;25/10/2021 22:12;20827195.0;F60KRQX;3794;57627;Você tem filhos?;1;Sim
63302E50-BB23-4A67-A299-E12ACAB5FF8D;Amparo;SP;F;04/2002;D8811E98-FE36-4575-99E5-68BE7D31F6FB;25/10/2021 22:12;20827195.0;F60KRQX;3794;57724;Você tem alguma atividade remunerada, mensal?;9;Empregado de Empresa privada
63302E50-BB23-4A67-A299-E12ACAB5FF8D;Amparo;SP;F;04/2002;D8811E98-FE36-4575-99E5-68BE7D31F6FB;25/10/2021 22:12;20827195.0;F60KRQX;3794;57727;Em qual dessas faixas se encaixa a sua renda pessoal mensal? Você diria que é .....;2;R$ 721 a 1.100
63302E50-BB23-4A67-A299-E12ACAB5FF8D;Amparo;SP;F;04/2002;D8811E98-FE36-4575-99E5-68BE7D31F6FB;25/10/2021 22:12;20827195.0;F60KRQX;3794;57791;Classe Social;4;C1 (23 - 28)
63302E50-BB23-4A67-A299-E12ACAB5FF8D;Amparo;SP;F;04/2002;D8811E98-FE36-4575-99E5-68BE7D31F6FB;25/10/2021 22:12;20827195.0;F60KRQX;3794;57792;E em qual dessas faixas se encaixa a sua renda familiar mensal, incluindo o ganho de todas as pessoas que moram em sua residência, além de outros rendimentos como aluguel, entre outros? Você diria que é .....;3;R$ 1.101 a 1.999
63302E50-BB23-4A67-A299-E12ACAB5FF8D;Amparo;SP;F;04/2002;31821770-8E76-434D-BB14-10A6CA8B7667;25/10/2021 22:08;17689494.0;98DZK9M;4037;122498;Você tem PIX? ;1;Sim 
63302E50-BB23-4A67-A299-E12ACAB5FF8D;Amparo;SP;F;04/2002;31821770-8E76-434D-BB14-10A6CA8B7667;25/10/2021 22:08;17689494.0;98DZK9M;4037;122499;Para quais finalidades você usa o PIX? ;1;Transferir $$ para amigos e familiares 
6EC90858-EED0-4B7F-AE81-BF941F3F653F;São Joaquim da Barra;SP;F;08/1992;D8811E98-FE36-4575-99E5-68BE7D31F6FB;20/02/2022 08:03;23409370.0;F60KRQX;3794;57625;Qual seu estado civil? ;2;Casada (o) / Morando Junto
6EC90858-EED0-4B7F-AE81-BF941F3F653F;São Joaquim da Barra;SP;F;08/1992;D8811E98-FE36-4575-99E5-68BE7D31F6FB;20/02/2022 08:03;23409370.0;F60KRQX;3794;57627;Você tem filhos?;1;Sim
6EC90858-EED0-4B7F-AE81-BF941F3F653F;São Joaquim da Barra;SP;F;08/1992;D8811E98-FE36-4575-99E5-68BE7D31F6FB;20/02/2022 08:03;23409370.0;F60KRQX;3794;57724;Você tem alguma atividade remunerada, mensal?;8;Autônomo/ Free-lancer
6EC90858-EED0-4B7F-AE81-BF941F3F653F;São Joaquim da Barra;SP;F;08/1992;D8811E98-FE36-4575-99E5-68BE7D31F6FB;20/02/2022 08:03;23409370.0;F60KRQX;3794;57727;Em qual dessas faixas se encaixa a sua renda pessoal mensal? Você diria que é .....;10;R$ 15.000 a 20.000
6EC90858-EED0-4B7F-AE81-BF941F3F653F;São Joaquim da Barra;SP;F;08/1992;D8811E98-FE36-4575-99E5-68BE7D31F6FB;20/02/2022 08:03;23409370.0;F60KRQX;3794;57791;Classe Social;1;A1 (45-100)
6EC90858-EED0-4B7F-AE81-BF941F3F653F;São Joaquim da Barra;SP;F;08/1992;D8811E98-FE36-4575-99E5-68BE7D31F6FB;20/02/2022 08:03;23409370.0;F60KRQX;3794;57792;E em qual dessas faixas se encaixa a sua renda familiar mensal, incluindo o ganho de todas as pessoas que moram em sua residência, além de outros rendimentos como aluguel, entre outros? Você diria que é .....;10;R$ 15.000 a 20.000
6EC90858-EED0-4B7F-AE81-BF941F3F653F;São Joaquim da Barra;SP;F;08/1992;31821770-8E76-434D-BB14-10A6CA8B7667;20/02/2022 07:58;20001121.0;98DZK9M;4037;122498;Você tem PIX? ;1;Sim 
6EC90858-EED0-4B7F-AE81-BF941F3F653F;São Joaquim da Barra;SP;F;08/1992;31821770-8E76-434D-BB14-10A6CA8B7667;20/02/2022 07:58;20001121.0;98DZK9M;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6;
0D251ECD-28A2-4048-BD4F-1BD571B8E49F;São Pedro da Aldeia;RJ;M;08/1982;D8811E98-FE36-4575-99E5-68BE7D31F6FB;04/01/2022 17:34;22720129.0;F60KRQX;3794;57625;Qual seu estado civil? ;2;Casada (o) / Morando Junto
0D251ECD-28A2-4048-BD4F-1BD571B8E49F;São Pedro da Aldeia;RJ;M;08/1982;D8811E98-FE36-4575-99E5-68BE7D31F6FB;04/01/2022 17:34;22720129.0;F60KRQX;3794;57627;Você tem filhos?;1;Sim
